last_tag_seen	tag_visible	tag_x_coord	tag_distance	bumping	drive_command
d	d	c	c	d	d
3	t	144	297	f	f
3	t	144	297	f	f
3	t	144	287	f	f
3	t	144	287	f	f
3	t	144	288	f	f
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
3	f	144	288	f	s
0	t	155	1196	f	f
0	t	155	1195	f	f
0	t	156	1192	f	f
0	t	156	1192	f	f
0	t	155	1197	f	f
0	t	156	1198	f	f
0	t	155	1196	f	f
0	t	155	1196	f	f
0	t	155	1195	f	f
0	t	156	1196	f	f
0	t	155	1196	f	f
0	t	156	1198	f	f
0	t	155	1196	f	f
0	t	156	1197	f	f
0	t	155	1196	f	f
0	t	155	1195	f	f
0	t	156	1197	f	f
0	t	156	1196	f	f
0	t	156	1193	f	f
0	t	156	1192	f	f
0	t	156	1316	f	f
0	t	155	1196	f	f
0	t	156	1197	f	f
0	t	156	1320	f	f
0	t	156	1315	f	f
0	t	156	1197	f	f
0	t	156	1198	f	f
0	t	155	1196	f	f
0	t	156	1197	f	f
0	t	156	1197	f	f
0	t	155	1197	f	f
0	t	156	1197	f	f
0	t	156	1197	f	f
0	t	155	1195	f	f
0	t	155	1196	f	f
0	t	156	1197	f	f
0	t	156	1197	f	f
0	t	156	1197	f	f
0	t	156	1323	f	f
0	t	156	1318	f	f
0	t	156	1322	f	f
0	t	156	1198	f	f
0	t	156	1318	f	f
0	t	156	1198	f	f
0	t	156	1198	f	f
0	t	156	1198	f	f
0	t	155	1196	f	f
0	t	156	1198	f	f
0	t	156	1197	f	f
0	t	156	1324	f	f
0	t	156	1198	f	f
0	t	156	1193	f	f
0	t	156	1197	f	f
0	t	156	1197	f	f
0	t	155	1196	f	f
0	t	156	1192	f	f
0	t	155	1196	f	f
0	t	155	1196	f	f
0	t	155	1196	f	f
0	t	155	1196	f	f
0	t	156	1197	f	f
0	t	155	1195	f	f
0	t	156	1196	f	f
0	t	156	1197	f	f
0	t	156	1197	f	f
0	t	155	1197	f	f
0	t	155	1196	f	f
0	t	155	1196	f	f
0	t	156	1197	f	f
0	t	155	1196	f	f
0	t	156	1318	f	f
0	t	155	1195	f	f
0	t	156	1323	f	f
0	t	156	1318	f	f
0	t	156	1318	f	f
0	t	156	1193	f	f
0	t	155	1196	f	f
0	t	156	1192	f	f
